Date,Temperature,CO2 Emissions,Rainfall,Humidity
2020-01-01,15.2,400.3,120.5,78
2020-01-02,16.0,402.1,110.2,76
2020-01-03,15.8,405.6,130.4,80
2020-01-04,14.7,408.2,125.3,79
2020-01-05,17.3,410.1,140.1,82
2020-01-06,16.9,412.5,135.2,81
2020-01-07,18.2,415.4,142.0,83
2020-01-08,17.5,419.6,130.0,79
2020-01-09,16.8,421.3,110.5,77
2020-01-10,17.1,423.2,105.7,75
2020-01-11,16.4,424.5,118.9,80
2020-01-12,15.9,426.1,125.0,78
2020-01-13,14.5,429.3,115.2,76
2020-01-14,13.8,430.5,122.1,75
2020-01-15,15.0,433.0,110.8,74
2020-01-16,16.2,435.4,108.4,77
2020-01-17,16.7,438.2,112.3,80
2020-01-18,17.4,440.6,120.1,82
2020-01-19,16.5,444.1,125.7,79
2020-01-20,15.3,447.3,135.3,78
2020-01-21,14.6,450.0,130.9,76
2020-01-22,16.1,453.2,118.5,75
2020-01-23,17.0,456.1,121.3,77
2020-01-24,15.8,460.3,129.0,80
2020-01-25,14.9,463.4,122.7,79
2020-01-26,16.3,465.6,130.4,81
2020-01-27,17.2,470.0,135.6,82
2020-01-28,16.0,472.1,140.2,78
2020-01-29,15.5,475.3,125.8,76
2020-01-30,16.4,480.0,128.1,77
